,Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit
0,2000,Kids,Training,SuperRep Go,M,1.482213438735178,6039.8633948635625,0.47,0.0,2024-03-09,Online,bengaluru,-770.45
1,2001,Women,Soccer,Tiempo Legend,M,3.0,4957.93,0.0,0.0,2024-07-09,Retail,Hyd,-112.53
2,2002,Women,Soccer,Premier III,M,4.0,6039.8633948635625,0.0,0.0,10-12-2024,Retail,Mumbai,3337.34
3,2003,Kids,Lifestyle,Blazer Mid,L,1.482213438735178,9673.57,0.0,0.0,04-10-2024,Online,Pune,3376.85
4,2004,Kids,Running,React Infinity,XL,1.482213438735178,6039.8633948635625,0.0,0.0,2024/09/12,Retail,Delhi,187.89
5,2005,Women,Training,Flex Trainer,M,1.0,7363.96,0.0,0.0,10-12-2024,Retail,Delhi,1415.98
6,2006,Men,Training,SuperRep Go,M,1.482213438735178,6819.78,0.0,0.0,04-06-2025,Online,Bangalore,1802.09
7,2007,Kids,Training,SuperRep Go,M,1.0,6039.8633948635625,0.32,0.0,10-12-2024,Retail,Bangalore,2928.36
8,2008,Women,Soccer,Premier III,11,1.482213438735178,6039.8633948635625,0.0,0.0,11-10-2024,Online,Hyderabad,-731.18
9,2009,Men,Soccer,Mercurial Superfly,M,4.0,6039.8633948635625,0.0,0.0,10-12-2024,Online,Pune,3929.61
10,2010,Kids,Lifestyle,Waffle One,L,1.0,7949.83,0.0,0.0,2025/01/16,Online,Pune,1965.56
11,2011,Women,Training,Flex Trainer,L,1.482213438735178,9586.08,0.0,0.0,10-12-2024,Retail,Hyd,1667.08
12,2018,Kids,Lifestyle,Blazer Mid,L,1.482213438735178,6039.8633948635625,0.86,0.0,13-11-2024,Online,Delhi,2109.48
13,2013,Kids,Training,SuperRep Go,L,1.482213438735178,9671.05,0.0,0.0,19-09-2024,Online,hyderbad,299.34
14,2014,Women,Running,React Infinity,11,1.482213438735178,6039.8633948635625,0.0,0.0,2025-04-12,Online,Bangalore,-1044.4
15,2015,Kids,Basketball,Air Jordan,L,1.482213438735178,3285.52,0.0,0.0,31-05-2025,Retail,Kolkata,1193.21
16,2016,Women,Basketball,Air Jordan,M,1.0,9871.75,0.3,6910.22,10-12-2024,Retail,hyderbad,2452.69
17,2017,Women,Basketball,Air Jordan,9,4.0,6039.8633948635625,0.0,0.0,17-03-2025,Retail,Delhi,1946.24
18,2018,Men,Training,Metcon 7,XL,0.0,6039.8633948635625,1.17,0.0,10-12-2024,Online,bengaluru,-966.89
19,2019,Kids,Running,Air Zoom,6,0.0,3424.06,0.32,0.0,2025/01/17,Online,Hyderabad,1915.24
20,2020,Kids,Soccer,Tiempo Legend,L,1.482213438735178,6039.8633948635625,0.67,0.0,28-03-2025,Retail,Mumbai,439.96
21,2021,Men,Running,Free RN,L,1.482213438735178,7086.7,0.66,-2409.48,2024/11/19,Retail,Hyd,-1120.49
22,2022,Women,Soccer,Premier III,M,1.482213438735178,6039.8633948635625,0.0,0.0,2024/09/24,Online,Pune,3427.16
23,2023,Men,Lifestyle,Waffle One,M,1.482213438735178,5003.95,0.0,0.0,10-01-2025,Online,Mumbai,1498.37
24,2024,Kids,Training,SuperRep Go,XL,0.0,6039.8633948635625,0.5,0.0,28-12-2024,Retail,Bangalore,1842.35
25,2025,Women,Basketball,Kyrie Flytrap,M,3.0,9820.5,0.0,0.0,10-12-2024,Retail,Mumbai,1900.15
26,2026,Kids,Lifestyle,Blazer Mid,XL,1.0,6039.8633948635625,0.16,0.0,2024-08-10,Retail,Kolkata,2301.64
27,2027,Men,Basketball,Zoom Freak,XL,1.482213438735178,6039.8633948635625,0.22,0.0,10-12-2024,Online,Pune,-138.74
28,2028,Men,Training,Flex Trainer,12,1.482213438735178,3270.23,0.0,0.0,10-12-2024,Retail,Delhi,-946.86
29,2029,Men,Training,ZoomX Invincible,12,0.0,6039.8633948635625,0.0,0.0,2023-10-28,Online,Bangalore,-185.67
30,2030,Men,Soccer,Phantom GT,XL,1.482213438735178,6039.8633948635625,1.05,0.0,2025/07/14,Retail,Hyd,-122.93
31,2031,Men,Soccer,Premier III,L,4.0,3493.04,0.82,2514.99,2024-05-09,Online,Delhi,350.7
32,2032,Women,Lifestyle,Blazer Mid,XL,1.0,6039.8633948635625,1.07,0.0,11-04-2025,Retail,Mumbai,-555.16
33,2033,Men,Soccer,Mercurial Superfly,XL,1.482213438735178,6039.8633948635625,0.0,0.0,10-12-2024,Retail,Kolkata,-1005.71
34,2034,Men,Basketball,Air Jordan,6,1.482213438735178,6235.71,0.0,0.0,30-04-2025,Retail,Delhi,-267.37
35,2035,Kids,Basketball,Zoom Freak,L,4.0,6039.8633948635625,0.38,0.0,17-11-2024,Online,Bangalore,2914.83
36,2036,Men,Training,Metcon 7,L,3.0,6039.8633948635625,0.0,0.0,15-02-2025,Retail,Bangalore,-143.8
37,2037,Kids,Running,Pegasus Turbo,7,3.0,5653.14,1.01,-169.59,10-12-2024,Retail,Pune,2776.96
38,2038,Kids,Running,Free RN,L,0.0,6039.8633948635625,0.83,0.0,10-12-2024,Online,Delhi,1163.21
39,2039,Women,Training,Flex Trainer,M,1.482213438735178,2767.7,0.63,0.0,22-04-2025,Retail,hyderbad,-336.3
40,2002,Women,Basketball,Zoom Freak,XL,3.0,5075.22,0.0,0.0,07-03-2025,Retail,Delhi,145.08
